,document_id,text,ner,ner_type,ner_begin,ner_end,sentiment
0,98878,Plenković: Upozorili smo da je u BiH izigran duh Daytona,BiH,LOC,33,36,Sentiment - NEG
1,31065,Pivopije spašavaju Sankt Pauli,Sankt Pauli,LOC,19,30,Sentiment - NEUTR
2,112866,"[FOTO] Najbolja hrvatska klizačica Sanda Dubravčić-Šimunjak o legendarnoj Milki Babović: 'Bila sam joj kao kćer, zajedno smo rasle, ali žalim što njezine prijenose nisam mogla gledati uživo'",Milki Babović,PER,74,87,Sentiment - POZ
3,2272,Nijemci su oduševljeni mladim Hrvatom: Sve nas je iznenadio!,Nijemci,PER,0,7,Sentiment - NEUTR
4,99660,Sabor u srijedu o Deklaraciji o položaju Hrvata u BiH,Sabor,ORG,0,5,Sentiment - NEUTR
5,68368,Bijesni Amerikanac ponovno optužuje Mirka Filipovića,Mirka Filipovića,PER,36,52,Sentiment - NEG
6,81214,"Puntamika i Sabunjar poravnati na ljestvici, listu strijelaca predvode Dino Nikpalj, Goran Mikulec i Denis Bučić",Puntamika,ORG,0,9,Sentiment - NEUTR
7,99690,Europa ide u svemir: Pogledajte o čemu je Parlament glasao danas,Europa,LOC,0,6,Sentiment - POZ
8,121070,Još je jedna reprezentacija izborila plasman na SP u nogometu u Kataru,SP u nogometu u Kataru,MISC,48,70,Sentiment - NEUTR
9,90141,U postizbornoj gužvi Plenković stigao skoknuti i do Ukrajine,Plenković,PER,21,30,Sentiment - NEG
10,95214,Bandić: Informatika se u škole uvodi da bi se izbacio vjeronauk,Bandić,PER,0,6,Sentiment - NEUTR
11,28493,SAD koristi zrakoplove za prisluškivanje građana,SAD,LOC,0,3,Sentiment - NEG
12,85982,Adele je snimila najbolju temu za Bonda – ikada!,Adele,PER,0,5,Sentiment - POZ
13,11938,Jessica Alba: Neodoljive nasljednice po uzoru na mamu,Jessica Alba,PER,0,12,Sentiment - POZ
14,94062,Hrvatski vojnici ispraćeni u NATO misiju na sjeveru Poljske,Poljske,LOC,52,59,Sentiment - NEUTR
15,30901,predsjednik Mesić na radnom odmoru na Hvaru,Hvaru,LOC,38,43,Sentiment - NEUTR
16,112344,"Poznata glumica koja je bila nominirana za nagradu Oscar, objavila da se odsad zove Elliot Page",Elliot Page,PER,84,95,Sentiment - NEUTR
17,16642,"Real Madrid šokiran u vrućoj Sevilli: Betis srušio Kraljeve, Barca opet prva",Betis,ORG,38,43,Sentiment - POZ
18,49310,VIDEO 'Što znate o prvih 6 mjeseci Vlade?': Vlada se pohvalila poreznom reformom,Vlada,ORG,44,49,Sentiment - POZ
19,28829,"Vučetić: Kalmeta je nemoćan, može opstati samo u lancu stranačke poslušnosti",Vučetić,PER,0,7,Sentiment - NEUTR
20,85571,Adriano tuži klub jer je poslan na mršavljenje,Adriano,PER,0,7,Sentiment - NEUTR
21,64760,"24. studenoga 2000. Zagrebački summit - kako su Mesić i Chirac htjeli vratiti Hrvatsku u ""region Zapadnog Balkana""? – narod.hr",Hrvatsku,LOC,78,86,Sentiment - NEUTR
22,126952,Lovrić Prekriški jutro dočekao potpuno odsječen od svijeta,Lovrić Prekriški,PER,0,16,Sentiment - NEUTR
23,37471,Užasnu Oscar kombinaciju slavne Cher jučer je nadmašila još užasnija,Cher,PER,32,36,Sentiment - NEG
24,96038,"Ban Jelačić, Starčević i ekipa 'iskaču' iz mobitela? To je tek početak!",Starčević,PER,13,22,Sentiment - POZ
25,65326,Iranski šef diplomacije: 'Američka vojska nema što raditi u Perzijskom zaljevu' – narod.hr,Američka vojska,ORG,26,41,Sentiment - NEG
26,25807,Hanover: Evakuacija zbog bombe iz 2. svjetskog rata,2. svjetskog rata,MISC,34,51,Sentiment - NEG
27,129513,Splićanin Ivan Lendrić prelazi u francuski Lens,Lens,ORG,43,47,Sentiment - NEUTR
28,99015,"Realu bliski mediji tvrde: Lopetegui je bivši, a zna se i tko sjeda na klupu 'kraljeva'",kraljeva,ORG,78,86,Sentiment - POZ
29,82189,"Rat u Ukrajini ulazi u slijepu ulicu: Putin je u velikoj zabludi, ali se na Zapadu pojavljuju prvi znakovi ‘zamora Ukrajinom‘",Putin,PER,38,43,Sentiment - NEG
30,70931,SLUŽBENO Poznat datum povijesnog okršaja Miočića i Cormiera,Cormiera,PER,51,59,Sentiment - NEUTR
31,129854,Plenković napao Petrova: Kako je namamio vlasnika Agrokora u Vladu?,Petrova,PER,16,23,Sentiment - NEG
32,103915,Krstičević: Ponosam sam na pilote helikoptera Kiowa Warrior,Kiowa Warrior,MISC,46,59,Sentiment - POZ
33,47692,"Lika bez struje, poplave u Omišu i Kninu, pijavica u Šestanovcu",Omišu,LOC,27,32,Sentiment - NEUTR
34,67542,"Spektakularne snimke obilaze Hrvatsku! Sve gori, grad je proključao",Hrvatsku,LOC,29,37,Sentiment - POZ
35,110353,"Neymar zove Messija u PSG, ali Argentinac je već odlučio gdje nastavlja karijeru; velikan za njega nudi 100 milijuna eura i tri megazvijezde",Neymar,PER,0,6,Sentiment - NEUTR
36,40872,Raspad najomiljenije momčadi LP-a: Čudo od djeteta i Raiola sletjeli u Dortmund,LP,MISC,29,31,Sentiment - NEUTR
37,1515,James Corden ponovno će biti domaćin dodjele nagrada Tony,Tony,MISC,53,57,Sentiment - NEUTR
