document_id,text,ner_tag_text,ner,ner_type,ner_begin,ner_end,target_order,Sentiment - NEG,Sentiment - NEUTR,Sentiment - POZ,aggregated_sentiment,Ton - NEG,Ton - NEUTR,Ton - POZ,aggregated_tone,Sentiment - COUNT,Ton - COUNT,Sentiment - MAX,Ton - MAX,Ton - SECOND,Sentiment - SECOND
98878,Plenković: Upozorili smo da je u BiH izigran duh Daytona,Plenković: Upozorili smo da je u <strong>BiH</strong> izigran duh Daytona,BiH,LOC,33,36,0,6.0,0.0,0.0,Sentiment - NEG,5.0,1.0,0.0,Ton - NEG,6.0,6.0,6.0,5.0,1.0,0.0
31065,Pivopije spašavaju Sankt Pauli,Pivopije spašavaju <strong>Sankt Pauli</strong>,Sankt Pauli,LOC,19,30,0,1.0,4.0,1.0,Sentiment - NEUTR,1.0,2.0,3.0,Ton - POZ,6.0,6.0,4.0,3.0,2.0,1.0
112866,"[FOTO] Najbolja hrvatska klizačica Sanda Dubravčić-Šimunjak o legendarnoj Milki Babović: 'Bila sam joj kao kćer, zajedno smo rasle, ali žalim što njezine prijenose nisam mogla gledati uživo'","[FOTO] Najbolja hrvatska klizačica Sanda Dubravčić-Šimunjak o legendarnoj <strong>Milki Babović</strong>: 'Bila sam joj kao kćer, zajedno smo rasle, ali žalim što njezine prijenose nisam mogla gledati uživo'",Milki Babović,PER,74,87,0,0.0,0.0,6.0,Sentiment - POZ,0.0,0.0,6.0,Ton - POZ,6.0,6.0,6.0,6.0,0.0,0.0
2272,Nijemci su oduševljeni mladim Hrvatom: Sve nas je iznenadio!,<strong>Nijemci</strong> su oduševljeni mladim Hrvatom: Sve nas je iznenadio!,Nijemci,PER,0,7,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,0.0,6.0,Ton - POZ,6.0,6.0,5.0,6.0,0.0,1.0
99660,Sabor u srijedu o Deklaraciji o položaju Hrvata u BiH,<strong>Sabor</strong> u srijedu o Deklaraciji o položaju Hrvata u BiH,Sabor,ORG,0,5,0,0.0,6.0,0.0,Sentiment - NEUTR,0.0,6.0,0.0,Ton - NEUTR,6.0,6.0,6.0,6.0,0.0,0.0
68368,Bijesni Amerikanac ponovno optužuje Mirka Filipovića,Bijesni Amerikanac ponovno optužuje <strong>Mirka Filipovića</strong>,Mirka Filipovića,PER,36,52,0,5.0,0.0,1.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
81214,"Puntamika i Sabunjar poravnati na ljestvici, listu strijelaca predvode Dino Nikpalj, Goran Mikulec i Denis Bučić","<strong>Puntamika</strong> i Sabunjar poravnati na ljestvici, listu strijelaca predvode Dino Nikpalj, Goran Mikulec i Denis Bučić",Puntamika,ORG,0,9,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,5.0,1.0,Ton - NEUTR,6.0,6.0,5.0,5.0,1.0,1.0
99690,Europa ide u svemir: Pogledajte o čemu je Parlament glasao danas,<strong>Europa</strong> ide u svemir: Pogledajte o čemu je Parlament glasao danas,Europa,LOC,0,6,0,0.0,2.0,4.0,Sentiment - POZ,0.0,2.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,2.0,2.0
121070,Još je jedna reprezentacija izborila plasman na SP u nogometu u Kataru,Još je jedna reprezentacija izborila plasman na <strong>SP u nogometu u Kataru</strong>,SP u nogometu u Kataru,MISC,48,70,0,0.0,4.0,2.0,Sentiment - NEUTR,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,2.0
90141,U postizbornoj gužvi Plenković stigao skoknuti i do Ukrajine,U postizbornoj gužvi <strong>Plenković</strong> stigao skoknuti i do Ukrajine,Plenković,PER,21,30,0,4.0,0.0,2.0,Sentiment - NEG,4.0,1.0,1.0,Ton - NEG,6.0,6.0,4.0,4.0,1.0,2.0
